Kevin Chamberlain,,CSC 371: M207,,Intro Project
Size,Bubble Sorted,Heap Sorted,Bubble Rand,Heap Rand
1,500,300,300,100
2,400,500,400,400
3,600,1800,700,900
4,2200,2000,4300,2400
5,2400,1600,4100,4400
6,5100,2300,8500,6500
7,11800,3200,16200,7300
8,14500,3800,25300,11100
9,26400,6000,51900,13700
10,37600,5500,58100,14700
11,58300,7300,92200,16000
12,79500,7900,117800,15100
13,118900,8700,192500,67300
14,136800,7800,174800,17200
15,142800,8700,215900,20800
16,178400,10600,309200,47500
17,357300,15900,629500,31100
18,487100,13200,474000,27500
19,426400,31300,535600,25400
20,483200,14000,778400,28700
21,486400,14800,1066200,25400
22,1312000,35400,1508700,40400
23,944700,22700,1850600,70600
24,1845200,33900,2763900,53300
25,1628100,39100,2318000,64200
26,2104800,34600,2109700,41500
27,1813600,25700,2544700,63400
28,2158600,32000,2891400,63500
29,2999100,40500,3248300,66400
30,2758900,82700,3802900,88900
31,3227300,70800,4777300,44500
32,2568000,30100,5138000,69900
33,3884900,32900,4253900,48200
34,3796800,40100,5656400,209800
35,4482400,51300,6377200,100400
36,5232900,45000,6111200,66400
37,4934400,86500,7765400,61700
38,4575600,36700,8745700,106400
39,5504100,44000,8063100,135600
40,7450100,49400,9467500,82300
41,6012200,42100,9638000,73800
42,7541900,48200,10567900,88600
43,7317700,46000,11497800,69900
44,8524400,48500,12599200,79200
45,10069100,51100,13542200,93200
46,10135900,53200,14938000,108700
47,12196900,55100,15886300,80600
48,12277000,57400,18178000,118400
49,13929500,62000,20707400,93800
50,14848300,93600,21664600,92400
51,16133500,64700,23277000,107700
52,17517800,68300,26347600,91700
53,17255500,70100,25333400,111000
54,21374300,88200,33139900,100600
55,20811200,312200,31667000,139400
56,21642300,79900,30946200,133700
57,25211300,82900,35014800,99000
58,25926500,85100,37440500,133000
59,27853100,88700,38197200,133000
60,28325500,89000,44291900,127400
61,30490200,93500,48863700,119300
62,34597500,96500,49275300,120600
63,38114200,117100,50085300,125700
64,40540000,123100,55655600,344500
65,42667000,163900,56428300,130500
66,44598200,153900,70478000,181600
67,50270700,112800,71906600,134700
68,52855300,162100,71337200,130300
69,57109000,136700,75244600,170300
70,57471100,142400,83777400,150600
71,60063700,126700,86083800,151600
72,61008600,127000,89229400,181500
73,64960200,132100,95374300,156300
74,72111100,175400,103756100,159500
75,73999400,141200,108350600,165500
76,79504500,216400,121184100,173400
77,84296100,173200,122067800,179100
78,87581400,151800,129972500,326400
79,91555900,155200,140085400,278700
80,94625700,159600,137939100,213500
81,98338800,206000,147412200,191300
82,104305900,183700,147916400,249200
83,108201200,172600,165958000,214100
84,116508600,193900,171498300,227900
85,115981200,180200,178336000,231900
86,131749400,214500,181485100,283600
87,133318600,188800,190914600,223700
88,133438900,192900,204636000,423700
89,141776900,195400,217263100,266000
90,155824600,201000,221900100,233300
91,158636900,253400,228938500,258600
92,171513200,244600,238791700,287700
93,177268000,213500,255802500,254500
94,182621300,233300,263528300,272500
95,187901700,285300,276637500,293500
96,197409800,229700,291934100,299400
97,208087100,231500,303319100,453200
98,206417000,236800,313037700,387200
99,216752200,240800,315268000,297000
