Kevin Chamberlain ,,CSC 371: M207,,Intro Project
Size,Bubble Sorted,Heap Sorted,Bubble Rand,Heap Rand
1,400,300,171600,17700
2,300,400,397800,33000
3,500,1200,985600,42700
4,1000,1600,1797100,77600
5,3200,1800,3396000,106200
6,5500,2700,3633500,81900
7,8400,2200,2784400,60500
8,12300,3000,4426800,67500
9,19100,3400,5447300,46500
10,29900,4900,7280000,100100
11,44200,5200,8909500,83600
12,52800,5400,8744600,67000
13,134000,12900,11028200,54500
14,93100,6800,13872800,129000
15,122700,7900,15463000,94300
16,161700,8200,17577700,95900
17,195500,8900,15959200,65300
18,256200,10700,18359800,101400
19,581900,14600,17314200,61500
20,360100,11500,17158600,99900
21,427600,12100,21639900,106900
22,525900,13900,27248500,100700
23,658400,14300,26931500,73900
24,677000,16000,29710600,80300
25,841900,18500,31798400,77600
26,975800,18400,35359200,85400
27,1088200,19600,35368900,143300
28,1504700,44000,39096500,134700
29,1984600,29800,44397400,106100
30,1910600,27600,43632600,96300
31,1936000,25900,42817900,93000
32,2215900,27700,47355400,99100
33,2579400,29800,47678500,143900
34,2859900,32400,54018700,103100
35,3892800,40700,52990500,106100
36,4082300,48800,59981800,109900
37,4701900,37700,64012200,128600
38,4561200,39800,65699300,126600
39,5764500,87800,68073100,118800
40,5418100,43500,76070700,224100
41,6279600,84900,74989000,118800
42,8322600,57500,80210400,122300
43,7209300,49000,79971700,137700
44,9035400,51200,86919800,139300
45,11841800,94200,89682300,134200
46,10171600,56300,87020700,246800
47,11381000,59300,86553600,207800
48,12168900,100900,95087500,140200
49,13281800,67000,106122700,320100
50,17099800,89000,112051800,160000
51,17977200,71100,116166800,148000
52,15962800,72800,121947900,268600
53,19664100,77400,120088000,158200
54,19336500,145900,127965300,161000
55,21372000,81100,127062400,159200
56,26021600,85000,128700200,160200
57,24783200,89500,142082800,163500
58,24288700,90200,141998900,358600
59,27709100,92600,142695800,171600
60,31079400,97200,165974100,448700
61,34513400,100800,168970700,199000
62,36498500,102900,166368700,197000
63,42903000,138500,160719500,181300
64,37758500,133600,161859500,186300
65,39525800,112800,163060400,187700
66,52552800,124900,194973500,258100
67,54023800,128500,177111600,188300
68,49985200,123300,174282100,191200
69,51065800,128600,178904400,193800
70,54793100,131500,180408300,195600
71,55399900,133400,213270000,213300
72,75562900,149600,208150900,199300
73,70871400,350100,223766600,200200
74,68838400,146300,196430500,200600
75,72926400,181900,203959500,369000
76,73860400,154100,219780600,218800
77,81064400,158800,208657200,211900
78,81917800,161100,218973800,214500
79,85204500,168400,241203900,332500
80,89231700,203900,236167400,222600
81,94429600,176000,247210300,227500
82,107123200,279800,268183900,232400
83,103502100,186400,268695000,236400
84,110047200,190800,276522800,237000
85,119574200,193100,311826900,350600
86,142162500,199100,322342500,243200
87,134061300,202200,300535300,395000
88,142508200,238700,305990800,245600
89,141360500,211400,312501300,392200
90,147651300,217600,315026700,251300
91,157873700,221700,387552800,439100
92,166244700,245000,329154100,424100
93,171374500,227100,331165000,324200
94,175309700,319100,335227400,261600
95,187979300,241200,352154900,261800
96,201947700,330000,339442500,281400
97,208920700,250200,364853100,271300
98,213631600,275000,363560100,360100
99,231533600,443700,360771200,558100
